Label,Page,Addr,NumBytes,RegOffset,RegScale,ReadLen,ReadFlag,WriteFlag,TwosCompl,PwPrtect,Default,CalReg,FLOAT
PAGE_ID,0,0,2,0,1,16,1,1,0,0,,0,FALSE
SEQ_CNT,0,6,2,0,1,16,1,1,0,0,,0,FALSE
SYS_E_FLAG,0,8,2,0,1,16,1,0,0,0,,0,FALSE
DIAG_STS,0,10,2,0,1,16,1,0,0,0,,0,FALSE
ALM_STS,0,12,2,0,1,16,1,0,0,0,,0,FALSE
TEMP_OUT,0,14,2,-25,0.00565,16,1,0,1,0,,0,FALSE
X_GYRO_LOW,0,16,4,0,3.05E-07,32,1,0,1,0,,0,FALSE
X_GYRO_OUT,0,18,2,0,0.02,16,1,0,1,0,,0,FALSE
Y_GYRO_LOW,0,20,4,0,3.05E-07,32,1,0,1,0,,0,FALSE
Y_GYRO_OUT,0,22,2,0,0.02,16,1,0,1,0,,0,FALSE
Z_GYRO_LOW,0,24,4,0,3.05E-07,32,1,0,1,0,,0,FALSE
Z_GYRO_OUT,0,26,2,0,0.02,16,1,0,1,0,,0,FALSE
X_ACCL_LOW,0,28,4,0,1.22E-08,32,1,0,1,0,,0,FALSE
X_ACCL_OUT,0,30,2,0,0.0008,16,1,0,1,0,,0,FALSE
Y_ACCL_LOW,0,32,4,0,1.22E-08,32,1,0,1,0,,0,FALSE
Y_ACCL_OUT,0,34,2,0,0.0008,16,1,0,1,0,,0,FALSE
Z_ACCL_LOW,0,36,4,0,1.22E-08,32,1,0,1,0,,0,FALSE
Z_ACCL_OUT,0,38,2,0,0.0008,16,1,0,1,0,,0,FALSE
X_MAGN_OUT,0,40,2,0,0.1,16,1,0,1,0,,0,FALSE
Y_MAGN_OUT,0,42,2,0,0.1,16,1,0,1,0,,0,FALSE
Z_MAGN_OUT,0,44,2,0,0.1,16,1,0,1,0,,0,FALSE
BAROM_LOW,0,46,4,0,6.10E-07,32,1,0,1,0,,0,FALSE
BAROM_OUT,0,48,2,0,0.04,16,1,0,1,0,,0,FALSE
X_DELTANG_LOW,0,64,4,0,3.35E-07,32,1,0,1,0,,0,FALSE
X_DELTANG_OUT,0,66,2,0,0.021973,16,1,0,1,0,,0,FALSE
Y_DELTANG_LOW,0,68,4,0,3.35E-07,32,1,0,1,0,,0,FALSE
Y_DELTANG_OUT,0,70,2,0,0.021973,16,1,0,1,0,,0,FALSE
Z_DELTANG_LOW,0,72,4,0,3.35E-07,32,1,0,1,0,,0,FALSE
Z_DELTANG_OUT,0,74,2,0,0.021973,16,1,0,1,0,,0,FALSE
X_DELTVEL_LOW,0,76,4,0,9.31E-08,32,1,0,1,0,,0,FALSE
X_DELTVEL_OUT,0,78,2,0,0.006104,16,1,0,1,0,,0,FALSE
Y_DELTVEL_LOW,0,80,4,0,9.31E-08,32,1,0,1,0,,0,FALSE
Y_DELTVEL_OUT,0,82,2,0,0.006104,16,1,0,1,0,,0,FALSE
Z_DELTVEL_LOW,0,84,4,0,9.31E-08,32,1,0,1,0,,0,FALSE
Z_DELTVEL_OUT,0,86,2,0,0.006104,16,1,0,1,0,,0,FALSE
TIME_MS_OUT,0,120,2,0,1,16,1,1,0,0,,0,FALSE
TIME_DH_OUT,0,122,2,0,1,16,1,1,0,0,,0,FALSE
TIME_YM_OUT,0,124,2,0,1,16,1,1,0,0,,0,FALSE
PROD_ID,0,126,2,0,1,16,1,0,0,1,,0,FALSE
PAGE_ID,2,0,2,0,1,16,1,1,0,0,,0,FALSE
X_GYRO_SCALE,2,4,2,0,0.003052,16,1,1,1,0,0,0,FALSE
Y_GYRO_SCALE,2,6,2,0,0.003052,16,1,1,1,0,0,0,FALSE
Z_GYRO_SCALE,2,8,2,0,0.003052,16,1,1,1,0,0,0,FALSE
X_ACCL_SCALE,2,10,2,0,0.003052,16,1,1,1,0,0,0,FALSE
Y_ACCL_SCALE,2,12,2,0,0.003052,16,1,1,1,0,0,0,FALSE
Z_ACCL_SCALE,2,14,2,0,0.003052,16,1,1,1,0,0,0,FALSE
XG_BIAS_LOW,2,16,4,0,3.05E-07,32,1,1,1,0,0,0,FALSE
XG_BIAS_HIGH,2,18,2,0,0.02,16,1,1,1,0,0,0,FALSE
YG_BIAS_LOW,2,20,4,0,3.05E-07,32,1,1,1,0,0,0,FALSE
YG_BIAS_HIGH,2,22,2,0,0.02,16,1,1,1,0,0,0,FALSE
ZG_BIAS_LOW,2,24,4,0,3.05E-07,32,1,1,1,0,0,0,FALSE
ZG_BIAS_HIGH,2,26,2,0,0.02,16,1,1,1,0,0,0,FALSE
XA_BIAS_LOW,2,28,4,0,1.22E-08,32,1,1,1,0,,0,FALSE
XA_BIAS_HIGH,2,30,2,0,0.0008,16,1,1,1,0,,0,FALSE
YA_BIAS_LOW,2,32,4,0,1.22E-08,32,1,1,1,0,,0,FALSE
YA_BIAS_HIGH,2,34,2,0,0.0008,16,1,1,1,0,,0,FALSE
ZA_BIAS_LOW,2,36,4,0,1.22E-08,32,1,1,1,0,,0,FALSE
ZA_BIAS_HIGH,2,38,2,0,0.0008,16,1,1,1,0,,0,FALSE
HARD_IRON_X,2,40,2,0,0.0001,16,1,1,1,0,,0,FALSE
HARD_IRON_Y,2,42,2,0,0.0001,16,1,1,1,0,,0,FALSE
HARD_IRON_Z,2,44,2,0,0.0001,16,1,1,1,0,,0,FALSE
SOFT_IRON_S11,2,46,2,0,1,16,1,1,1,0,,0,FALSE
SOFT_IRON_S12,2,48,2,0,1,16,1,1,1,0,,0,FALSE
SOFT_IRON_S13,2,50,2,0,1,16,1,1,1,0,,0,FALSE
SOFT_IRON_S21,2,52,2,0,1,16,1,1,1,0,,0,FALSE
SOFT_IRON_S22,2,54,2,0,1,16,1,1,1,0,,0,FALSE
SOFT_IRON_S23,2,56,2,0,1,16,1,1,1,0,,0,FALSE
SOFT_IRON_S31,2,58,2,0,1,16,1,1,1,0,,0,FALSE
SOFT_IRON_S32,2,60,2,0,1,16,1,1,1,0,,0,FALSE
SOFT_IRON_S33,2,62,2,0,1,16,1,1,1,0,,0,FALSE
BR_BIAS_LOW,2,64,4,0,6.10E-07,32,1,1,1,0,,0,FALSE
BR_BIAS_HIGH,2,66,2,0,0.04,16,1,1,1,0,,0,FALSE
USER_SCR_1,2,116,2,0,1,16,1,1,0,0,,0,FALSE
USER_SCR_2,2,118,2,0,1,16,1,1,0,0,,0,FALSE
USER_SCR_3,2,120,2,0,1,16,1,1,0,0,,0,FALSE
USER_SCR_4,2,122,2,0,1,16,1,1,0,0,,0,FALSE
FLSHCNT_LOW,2,124,2,0,1,16,1,0,0,0,,0,FALSE
FLSHCNT_HIGH,2,126,2,0,1,16,1,0,0,0,,0,FALSE
PAGE_ID,3,0,2,0,1,16,1,1,0,0,,0,FALSE
GLOB_CMD,3,2,2,0,1,16,0,1,0,0,,0,FALSE
FNCTIO_CTRL,3,6,2,0,1,16,1,1,0,0,0,0,FALSE
GPIO_CTRL,3,8,2,0,1,16,1,1,0,0,,0,FALSE
CONFIG,3,10,2,0,1,16,1,1,0,0,195,0,FALSE
DEC_RATE,3,12,2,0,1,16,1,1,0,0,0,0,FALSE
NULL_CNFG,3,14,2,0,1,16,1,1,0,0,0,0,FALSE
SLP_CNT,3,16,2,0,1,16,1,1,0,0,0,0,FALSE
FILTR_BNK_0,3,22,2,0,1,16,1,1,0,0,0,0,FALSE
FILTR_BNK_1,3,24,2,0,1,16,1,1,0,0,0,0,FALSE
ALM_CNFG_0,3,32,2,0,1,16,1,1,0,0,0,0,FALSE
ALM_CNFG_1,3,34,2,0,1,16,1,1,0,0,0,0,FALSE
ALM_CNFG_2,3,36,2,0,1,16,1,1,0,0,0,0,FALSE
XG_ALM_MAGN,3,40,2,0,1,16,1,1,1,0,0,0,FALSE
YG_ALM_MAGN,3,42,2,0,1,16,1,1,1,0,0,0,FALSE
ZG_ALM_MAGN,3,44,2,0,1,16,1,1,1,0,0,0,FALSE
XA_ALM_MAGN,3,46,2,0,1,16,1,1,1,0,0,0,FALSE
YA_ALM_MAGN,3,48,2,0,1,16,1,1,1,0,0,0,FALSE
ZA_ALM_MAGN,3,50,2,0,1,16,1,1,1,0,0,0,FALSE
XM_ALM_MAGN,3,52,2,0,1,16,1,1,1,0,0,0,FALSE
YM_ALM_MAGN,3,54,2,0,1,16,1,1,1,0,0,0,FALSE
ZM_ALM_MAGN,3,56,2,0,1,16,1,1,1,0,0,0,FALSE
BR_ALM_MAGN,3,58,2,0,1,16,1,1,1,0,0,0,FALSE
FIRM_REV,3,120,2,0,1,16,1,0,0,1,,0,FALSE
FIRM_DM,3,122,2,0,1,16,1,0,0,1,,0,FALSE
FIRM_Y,3,124,2,0,1,16,1,0,0,1,,0,FALSE
SERIAL_NUM,4,32,2,0,1,16,1,1,0,1,,0,FALSE
PAGE,5,0,2,0,1,16,1,1,0,0,,0,FALSE
BNKA_C0,5,8,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C1,5,10,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C2,5,12,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C3,5,14,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C4,5,16,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C5,5,18,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C6,5,20,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C7,5,22,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C8,5,24,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C9,5,26,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C10,5,28,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C11,5,30,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C12,5,32,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C13,5,34,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C14,5,36,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C15,5,38,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C16,5,40,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C17,5,42,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C18,5,44,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C19,5,46,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C20,5,48,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C21,5,50,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C22,5,52,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C23,5,54,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C24,5,56,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C25,5,58,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C26,5,60,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C27,5,62,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C28,5,64,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C29,5,66,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C30,5,68,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C31,5,70,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C32,5,72,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C33,5,74,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C34,5,76,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C35,5,78,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C36,5,80,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C37,5,82,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C38,5,84,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C39,5,86,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C40,5,88,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C41,5,90,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C42,5,92,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C43,5,94,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C44,5,96,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C45,5,98,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C46,5,100,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C47,5,102,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C48,5,104,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C49,5,106,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C50,5,108,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C51,5,110,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C52,5,112,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C53,5,114,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C54,5,116,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C55,5,118,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C56,5,120,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C57,5,122,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C58,5,124,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C59,5,126,2,0,1,16,1,1,1,0,,0,TRUE
PAGE,6,0,2,0,1,16,1,1,0,0,,0,FALSE
BNKA_C60,6,8,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C61,6,10,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C62,6,12,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C63,6,14,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C64,6,16,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C65,6,18,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C66,6,20,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C67,6,22,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C68,6,24,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C69,6,26,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C70,6,28,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C71,6,30,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C72,6,32,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C73,6,34,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C74,6,36,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C75,6,38,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C76,6,40,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C77,6,42,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C78,6,44,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C79,6,46,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C80,6,48,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C81,6,50,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C82,6,52,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C83,6,54,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C84,6,56,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C85,6,58,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C86,6,60,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C87,6,62,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C88,6,64,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C89,6,66,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C90,6,68,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C91,6,70,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C92,6,72,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C93,6,74,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C94,6,76,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C95,6,78,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C96,6,80,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C97,6,82,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C98,6,84,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C99,6,86,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C100,6,88,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C101,6,90,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C102,6,92,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C103,6,94,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C104,6,96,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C105,6,98,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C106,6,100,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C107,6,102,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C108,6,104,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C109,6,106,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C110,6,108,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C111,6,110,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C112,6,112,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C113,6,114,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C114,6,116,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C115,6,118,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C116,6,120,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C117,6,122,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C118,6,124,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C119,6,126,2,0,1,16,1,1,1,0,,0,TRUE
PAGE,7,0,2,0,1,16,1,1,0,0,,0,FALSE
BNKB_C0,7,8,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C1,7,10,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C2,7,12,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C3,7,14,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C4,7,16,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C5,7,18,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C6,7,20,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C7,7,22,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C8,7,24,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C9,7,26,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C10,7,28,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C11,7,30,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C12,7,32,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C13,7,34,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C14,7,36,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C15,7,38,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C16,7,40,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C17,7,42,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C18,7,44,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C19,7,46,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C20,7,48,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C21,7,50,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C22,7,52,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C23,7,54,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C24,7,56,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C25,7,58,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C26,7,60,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C27,7,62,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C28,7,64,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C29,7,66,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C30,7,68,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C31,7,70,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C32,7,72,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C33,7,74,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C34,7,76,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C35,7,78,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C36,7,80,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C37,7,82,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C38,7,84,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C39,7,86,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C40,7,88,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C41,7,90,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C42,7,92,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C43,7,94,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C44,7,96,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C45,7,98,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C46,7,100,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C47,7,102,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C48,7,104,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C49,7,106,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C50,7,108,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C51,7,110,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C52,7,112,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C53,7,114,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C54,7,116,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C55,7,118,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C56,7,120,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C57,7,122,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C58,7,124,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C59,7,126,2,0,1,16,1,1,1,0,,0,TRUE
